cod_inscricao, nome_candidato, tipo_prova

1, Bruno O., Algoritmos I
2, João A., Algoritmos II
3, Maria B., Inglês
4, Lucas T., Algoritmos I
5, Carla M., Inglês
6, Pedro S., Algoritmos II
7, Ana C., Algoritmos I
8, Diego F., Algoritmos II
9, Camila P., Inglês
10, Rafael N., Algoritmos I
11, Juliana R., Algoritmos II
12, Tiago L., Algoritmos I
13, Larissa K., Inglês
14, Victor D., Algoritmos II
15, Mariana V., Algoritmos I
16, Paulo G., Inglês
17, Bianca H., Algoritmos I
18, André Q., Algoritmos II
19, Tânia J., Inglês
20, Renato B., Algoritmos I
21, Fernanda W., Algoritmos II
22, Hugo C., Algoritmos I
23, Gabriela Z., Inglês
24, Samuel M., Algoritmos II
25, Priscila Y., Algoritmos I
26, Wagner F., Algoritmos II
27, Denise H., Inglês
28, Eduardo X., Algoritmos I
29, Natália S., Algoritmos II
30, Igor P., Inglês
31, Lorena O., Algoritmos I
32, Felipe D., Algoritmos II
33, Beatriz T., Inglês
34, Alexandre Q., Algoritmos I
35, Sabrina L., Algoritmos II
36, Pietro E., Inglês
37, Cecília C., Algoritmos I
38, Rodrigo U., Algoritmos II
39, Melissa A., Inglês
40, Henrique R., Algoritmos II
41, Vitória G., Algoritmos I
42, Daniel M., Inglês
43, Jéssica I., Algoritmos II
44, Mateus W., Algoritmos I
45, Aline B., Inglês
46, Felipe R., Algoritmos I
47, Thiago M., Algoritmos I
48, Helen O., Algoritmos II
49, Sandra A., Inglês
