cod_inscricao, nome_candidato, tipo_prova 
1, Bruno O., Algoritmos I 
2, João A., Algoritmos II 
3, Maria B., Inglês 
4, Carla M., Algoritmos I 
5, Lucas P., Algoritmos II 
6, Fernanda C., Inglês 
7, Henrique L., Algoritmos I 
8, Ana R., Algoritmos I 
9, Marcelo P., Algoritmos II 
10, Patrícia F., Inglês 
11, Diego S., Algoritmos I 
12, Cecília T., Algoritmos II 
13, André B., Inglês 
14, Larissa M., Algoritmos I 
15, Rodrigo V., Algoritmos I 
16, Helena W., Algoritmos II 
17, Gustavo X., Inglês 
18, Sabrina H., Algoritmos II 
19, Murilo J., Algoritmos I 
20, Vanessa K., Inglês 
21, Tiago Q., Algoritmos I 
22, Bianca E., Algoritmos I 
23, Rafael C., Algoritmos II 
24, Mônica F., Inglês 
25, Samuel G., Algoritmos II 
26, Isabela M., Algoritmos I 
27, Pedro R., Algoritmos I 
28, Vitória S., Inglês 
29, Eduardo P., Algoritmos II 
30, Daniela I., Inglês 
31, Alexandre Z., Algoritmos I 
32, Camila L., Algoritmos II 
33, Felipe T., Inglês 
34, Bruno N., Algoritmos I 
35, Gabriela O., Algoritmos I 
36, Leandro U., Algoritmos II 
37, Juliana L., Inglês 
38, Caio D., Algoritmos II 
39, Aline V., Inglês 
40, Rafael M., Algoritmos I 
41, Letícia A., Algoritmos I 
42, Vinícius T., Algoritmos II 
43, Paola R., Inglês 
44, Enzo Y., Algoritmos I 
45, Clara U., Inglês 
46, Felipe R., Algoritmos I 
47, Thiago M., Algoritmos I 
48, Helen O., Algoritmos II 
49, Sandra A., Inglês
